ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94132,2,2023,Gas- Commercial,N,156,"117,778",755
94132,3,2023,Gas- Commercial,N,155,"124,164",801
94133,1,2023,Gas- Commercial,N,596,"271,295",455
94133,2,2023,Gas- Commercial,N,591,"261,333",442
94133,3,2023,Gas- Commercial,N,594,"283,289",477
94134,1,2023,Gas- Commercial,Y,0,0,
94134,2,2023,Gas- Commercial,Y,0,0,
94134,3,2023,Gas- Commercial,Y,0,0,
94158,1,2023,Gas- Commercial,Y,0,0,
94158,2,2023,Gas- Commercial,Y,0,0,
94158,3,2023,Gas- Commercial,Y,0,0,
94303,1,2023,Gas- Commercial,Y,0,0,
94303,2,2023,Gas- Commercial,Y,0,0,
94303,3,2023,Gas- Commercial,Y,0,0,
94304,1,2023,Gas- Commercial,Y,0,0,
94304,2,2023,Gas- Commercial,Y,0,0,
94304,3,2023,Gas- Commercial,Y,0,0,
94305,1,2023,Gas- Commercial,Y,0,0,
94305,2,2023,Gas- Commercial,Y,0,0,
94305,3,2023,Gas- Commercial,Y,0,0,
94306,1,2023,Gas- Commercial,Y,0,0,
94306,2,2023,Gas- Commercial,Y,0,0,
94306,3,2023,Gas- Commercial,Y,0,0,
94401,1,2023,Gas- Commercial,Y,"1,418","1,322,092",932
94401,2,2023,Gas- Commercial,Y,"1,421","1,278,635",900
94401,3,2023,Gas- Commercial,Y,0,0,
94402,1,2023,Gas- Commercial,Y,497,"327,245",658
94402,2,2023,Gas- Commercial,Y,498,"336,642",676
94402,3,2023,Gas- Commercial,Y,0,0,
94403,1,2023,Gas- Commercial,Y,0,0,
94403,2,2023,Gas- Commercial,Y,0,0,
94403,3,2023,Gas- Commercial,Y,0,0,
94404,1,2023,Gas- Commercial,Y,0,0,
94404,2,2023,Gas- Commercial,Y,0,0,
94404,3,2023,Gas- Commercial,Y,0,0,
94501,1,2023,Gas- Commercial,N,771,"491,707",638
94501,2,2023,Gas- Commercial,N,770,"462,348",600
94501,3,2023,Gas- Commercial,N,772,"487,199",631
94502,1,2023,Gas- Commercial,N,105,"154,981","1,476"
94502,2,2023,Gas- Commercial,N,104,"143,742","1,382"
94502,3,2023,Gas- Commercial,N,103,"152,100","1,477"
94503,1,2023,Gas- Commercial,Y,0,0,
94503,2,2023,Gas- Commercial,Y,0,0,
94503,3,2023,Gas- Commercial,Y,0,0,
94505,1,2023,Gas- Commercial,Y,0,0,
94505,2,2023,Gas- Commercial,Y,0,0,
94505,3,2023,Gas- Commercial,Y,0,0,
94506,1,2023,Gas- Commercial,Y,148,"109,179",738
94506,2,2023,Gas- Commercial,Y,188,"148,111",788
94506,3,2023,Gas- Commercial,Y,0,0,
94507,1,2023,Gas- Commercial,Y,0,0,
94507,2,2023,Gas- Commercial,Y,0,0,
94507,3,2023,Gas- Commercial,Y,0,0,
94508,1,2023,Gas- Commercial,Y,0,0,
94508,2,2023,Gas- Commercial,Y,0,0,
94508,3,2023,Gas- Commercial,Y,0,0,
94509,1,2023,Gas- Commercial,Y,0,0,
94509,2,2023,Gas- Commercial,Y,0,0,
94509,3,2023,Gas- Commercial,Y,0,0,
94510,1,2023,Gas- Commercial,N,532,"198,401",373
94510,2,2023,Gas- Commercial,N,531,"196,751",371
94510,3,2023,Gas- Commercial,N,533,"189,533",356
94513,1,2023,Gas- Commercial,Y,"1,215","530,102",436
94513,2,2023,Gas- Commercial,Y,"1,208","481,607",399
94513,3,2023,Gas- Commercial,Y,0,0,
94514,1,2023,Gas- Commercial,Y,0,0,
94514,2,2023,Gas- Commercial,Y,0,0,
94514,3,2023,Gas- Commercial,Y,0,0,
94515,1,2023,Gas- Commercial,Y,0,0,
94515,2,2023,Gas- Commercial,Y,0,0,
94515,3,2023,Gas- Commercial,Y,0,0,
94517,1,2023,Gas- Commercial,Y,0,0,
94517,2,2023,Gas- Commercial,Y,0,0,
94517,3,2023,Gas- Commercial,Y,0,0,
94518,1,2023,Gas- Commercial,Y,0,0,
94518,2,2023,Gas- Commercial,Y,0,0,
94518,3,2023,Gas- Commercial,Y,0,0,
94519,1,2023,Gas- Commercial,Y,475,"177,145",373
94519,2,2023,Gas- Commercial,Y,475,"170,386",359
94519,3,2023,Gas- Commercial,Y,474,"159,555",337
94520,1,2023,Gas- Commercial,Y,"2,743","1,474,274",537
94520,2,2023,Gas- Commercial,Y,"2,746","1,465,647",534
94520,3,2023,Gas- Commercial,Y,"3,844","1,856,435",483
94521,1,2023,Gas- Commercial,Y,0,0,
94521,2,2023,Gas- Commercial,Y,0,0,
